Rank,Song,Artist,Trend,Last Week,Peak,Weeks,Link
1,After Hours,The Weeknd,Steady,1,1,3,https://www.billboard.com/charts/billboard-200?rank=1
2,Pray 4 Love,Rod Wave,New,-,2,1,https://www.billboard.com/charts/billboard-200?rank=2
3,Eternal Atake,Lil Uzi Vert,Steady,3,1,5,https://www.billboard.com/charts/billboard-200?rank=3
4,My Turn,Lil Baby,Rising,6,1,6,https://www.billboard.com/charts/billboard-200?rank=4
5,SOUTHSIDE,Sam Hunt,New,-,5,1,https://www.billboard.com/charts/billboard-200?rank=5
6,YHLQMDLG,Bad Bunny,Rising,7,2,6,https://www.billboard.com/charts/billboard-200?rank=6
7,Please Excuse Me For Being Antisocial,Roddy Ricch,Rising,9,1,18,https://www.billboard.com/charts/billboard-200?rank=7
8,Future Nostalgia,Dua Lipa,Failing,4,4,2,https://www.billboard.com/charts/billboard-200?rank=8
9,Hollywood's Bleeding,Post Malone,Rising,11,1,31,https://www.billboard.com/charts/billboard-200?rank=9
10,Chilombo,Jhene Aiko,Rising,12,2,5,https://www.billboard.com/charts/billboard-200?rank=10
11,Changes,Justin Bieber,Rising,14,1,8,https://www.billboard.com/charts/billboard-200?rank=11
12,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,Rising,16,1,54,https://www.billboard.com/charts/billboard-200?rank=12
13,Frozen II,Soundtrack,Rising,15,1,21,https://www.billboard.com/charts/billboard-200?rank=13
14,Fine Line,Harry Styles,Rising,17,1,17,https://www.billboard.com/charts/billboard-200?rank=14
15,What You See Is What You Get,Luke Combs,Rising,18,1,22,https://www.billboard.com/charts/billboard-200?rank=15
16,Suga,Megan Thee Stallion,Rising,19,10,5,https://www.billboard.com/charts/billboard-200?rank=16
17,Hot Pink,Doja Cat,Rising,20,17,23,https://www.billboard.com/charts/billboard-200?rank=17
18,This One's For You,Luke Combs,Rising,23,4,149,https://www.billboard.com/charts/billboard-200?rank=18
19,"Meet The Woo, V.2",Pop Smoke,Rising,21,7,9,https://www.billboard.com/charts/billboard-200?rank=19
20,PARTYMOBILE,PARTYNEXTDOOR,Failing,8,8,2,https://www.billboard.com/charts/billboard-200?rank=20
21,ADHD,Joyner Lucas,Failing,10,10,2,https://www.billboard.com/charts/billboard-200?rank=21
22,C A L M,5 Seconds Of Summer,Failing,2,2,3,https://www.billboard.com/charts/billboard-200?rank=22
23,If I Know Me,Morgan Wallen,Rising,36,23,80,https://www.billboard.com/charts/billboard-200?rank=23
24,Ghetto Gospel,Rod Wave,Steady,24,10,23,https://www.billboard.com/charts/billboard-200?rank=24
25,beerbongs & bentleys,Post Malone,Rising,28,1,102,https://www.billboard.com/charts/billboard-200?rank=25
26,Goodbye & Good Riddance,Juice WRLD,Rising,29,4,99,https://www.billboard.com/charts/billboard-200?rank=26
27,"Still Flexin, Still Steppin",YoungBoy Never Broke Again,Failing,22,2,7,https://www.billboard.com/charts/billboard-200?rank=27
28,Over It,Summer Walker,Rising,30,2,27,https://www.billboard.com/charts/billboard-200?rank=28
29,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,Rising,33,20,47,https://www.billboard.com/charts/billboard-200?rank=29
30,KIKI,Kiana Lede,New,-,30,1,https://www.billboard.com/charts/billboard-200?rank=30
31,"Wake Up, Sunshine",All Time Low,New,-,31,1,https://www.billboard.com/charts/billboard-200?rank=31
32,Music To Be Murdered By,Eminem,Failing,26,1,12,https://www.billboard.com/charts/billboard-200?rank=32
33,KIRK,DaBaby,Failing,31,1,28,https://www.billboard.com/charts/billboard-200?rank=33
34,Artist 2.0,A Boogie Wit da Hoodie,Failing,27,2,8,https://www.billboard.com/charts/billboard-200?rank=34
35,Manic,Halsey,Steady,35,2,12,https://www.billboard.com/charts/billboard-200?rank=35
36,Lover,Taylor Swift,Failing,32,1,33,https://www.billboard.com/charts/billboard-200?rank=36
37,MAP OF THE SOUL : 7,BTS,Failing,25,1,7,https://www.billboard.com/charts/billboard-200?rank=37
38,It Is What It Is,Thundercat,New,-,38,1,https://www.billboard.com/charts/billboard-200?rank=38
39,Certified Hitmaker,Lil Mosey,Failing,37,12,19,https://www.billboard.com/charts/billboard-200?rank=39
40,Scorpion,Drake,Rising,42,1,93,https://www.billboard.com/charts/billboard-200?rank=40
41,Greatest Hits,Queen,Failing,39,11,381,https://www.billboard.com/charts/billboard-200?rank=41
42,AI YoungBoy 2,YoungBoy Never Broke Again,Failing,41,1,26,https://www.billboard.com/charts/billboard-200?rank=42
43,Death Race For Love,Juice WRLD,Rising,44,1,57,https://www.billboard.com/charts/billboard-200?rank=43
44,Hamilton: An American Musical,Original Broadway Cast,Rising,73,3,237,https://www.billboard.com/charts/billboard-200?rank=44
45,JACKBOYS,JACKBOYS,Failing,43,1,15,https://www.billboard.com/charts/billboard-200?rank=45
46,Dont Smile At Me,Billie Eilish,Failing,45,14,120,https://www.billboard.com/charts/billboard-200?rank=46
47,A Love Letter To You 4,Trippie Redd,Failing,40,1,20,https://www.billboard.com/charts/billboard-200?rank=47
48,Stoney,Post Malone,Failing,46,4,174,https://www.billboard.com/charts/billboard-200?rank=48
49,Diamonds,Elton John,Steady,49,7,126,https://www.billboard.com/charts/billboard-200?rank=49
50,ASTROWORLD,Travis Scott,Rising,54,1,88,https://www.billboard.com/charts/billboard-200?rank=50
51,So Much Fun,Young Thug,Rising,52,1,34,https://www.billboard.com/charts/billboard-200?rank=51
52,Cuz I Love You,Lizzo,Failing,50,4,51,https://www.billboard.com/charts/billboard-200?rank=52
